Section Summaries,KEY:,, = missing sample,RED, = very low sample,, = need to fill in,, = coarsest sample,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,% Volume,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Depth,Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean:,Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,% Clay,% Silt,% Sand,
363,U1485,A,4,H,3,1.39,1.39,28.6,29.99,28.473,29.78,85A_4_3-0_7437_01.$ls,3.41,3.75,15,2.87,0.773,3.75,13.9,52.1967,66.585,81.8628,100,100,100,100,100,52.1967,47.8033,0,
363,U1485,A,4,H,4,1.18,1.18,29.99,31.17,29.78,30.888,85A_4_4-0_7438_01.$ls,3.34,3.78,12,2.78,0.774,3.78,11.8,51.9119,65.993,83.3094,100,100,100,100,100,51.9119,48.0881,0,
363,U1485,A,4,H,5,1.5,1.5,31.17,32.67,30.888,32.298,85A_4_5-0_7439_01.$ls,4.34,4.78,18,3.21,0.836,4.78,18.6,44.5903,56.8191,70.0834,100,100,100,100,100,44.5903,55.4097,0,
363,U1485,A,4,H,6,1.3,1.3,32.67,33.97,32.298,33.52,85A_4_6-0_7502_01.$ls,3.07,3.5,5,2.79,0.718,3.4,11.7,55.8848,70.6988,86.0763,100,100,100,100,100,55.8848,44.1152,0,
363,U1485,A,4,H,8,0.76,0.76,35.47,36.23,34.929,35.643,85A_4_8-0_7503_01.$ls,3.77,4.08,16,3.06,0.796,3.96,16.8,50.3245,63.5678,76.1776,100,100,100,100,100,50.3245,49.6755,0,
363,U1485,A,5,H,1,1.5,1.5,36,37.5,36,37.419,85A_5_1-0_7505_01.$ls,4.64,4.39,18,3.44,1.46,5.14,18.4,41.2355,55.0378,68.6947,99.9693,100,100,100,100,41.2355,58.7645,0,
363,U1485,A,4,H,CC,0.38,0.38,36.23,36.61,35.643,36,85A_4_CC-0_7504_01.$ls,3.15,3.56,5,2.76,0.754,3.46,11.9,55.2282,69.9048,85.4184,100,100,100,100,100,55.2282,44.7718,0,
363,U1485,A,5,H,2,1.49,1.49,37.5,38.99,37.419,38.829,85A_5_2-0_7506_01.$ls,3.68,4.08,16,2.96,0.802,3.97,15.7,50.2888,64.2544,78.2082,100,100,100,100,100,50.2888,49.7112,0,
363,U1485,A,5,H,3,1.5,1.5,38.99,40.49,38.829,40.248,85A_5_3-0_7508_01.$ls,6.25,6.19,50,4.18,0.909,5.99,46,39.6852,50.0459,60.2365,82.0289,98.6203,100,100,100,39.6852,58.9351,1.3797,
363,U1485,A,5,H,4,1.43,1.43,40.49,41.92,40.248,41.602,85A_5_4-0_7509_01.$ls,6.04,6.86,18,3.72,0.949,6.61,32.4,37.884,47.7792,58.1334,89.6404,100,100,100,100,37.884,62.116,0,
363,U1485,A,5,H,5,1.27,1.27,41.92,43.19,41.602,42.803,85A_5_5-0_7512_01.$ls,22.3,46.7,88,5.07,1.79,45.7,103,18.6363,23.5375,29.0169,42.6684,60.9957,97.9822,100,100,18.6363,42.3594,39.0043,
363,U1485,A,5,H,6,1.5,1.5,43.19,44.69,42.803,44.222,85A_5_6-0_7513_01.$ls,4.52,5.01,18,3.24,0.867,4.87,19.8,44.0201,56.217,69.0362,99.7684,100,100,100,100,44.0201,55.9799,0,
