Section Summaries,,, = missing sample,RED, = sample too low,,,,,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,,% Volume,,,,,,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean (µm),Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,%Clay,%Silt,%Sand,,,,,,,
363,U1484,A,4,H,2,1.42,1.42,25.05,26.47,24.959,26.256, 84A_4_2-0_7403_01.$ls,4.86,5.33,18.000,3.28,0.91,5.33,20.80,41.58,53.40,66.30,99.63,100.00,100.00,100.00,100.00,41.58,58.42,0.00,,,,,,,
363,U1484,A,4,H,3,1.04,1.04,26.47,27.51,26.256,27.206, 84A_4_3-0_7397_01.$ls,6.14,7.27,18.000,3.63,1.00,7.27,29.30,34.44,45.02,57.86,91.73,100.00,100.00,100.00,100.00,34.44,65.56,0.00,,,,,,,
363,U1484,A,4,H,4,1.07,1.07,27.51,28.58,27.206,28.184, 84A_4_4-0_7398_01.$ls,5.28,5.57,18.000,3.57,0.90,5.57,26.20,40.83,51.94,63.36,92.71,100.00,100.00,100.00,100.00,40.83,59.17,0.00,,,,,,,
363,U1484,A,4,H,5,1.29,1.29,28.58,29.87,28.184,29.362, 84A_4_5-0_7399_01.$ls,4.90,5.59,18.000,3.29,0.90,5.59,20.20,40.31,51.98,65.53,99.93,100.00,100.00,100.00,100.00,40.31,59.69,0.00,,,,,,,
363,U1484,A,4,H,6,1.46,1.46,29.87,31.33,29.362,30.696, 84A_4_6-0_7401_01.$ls,4.28,4.51,18.000,3.19,0.85,4.51,18.60,46.15,58.88,71.45,99.22,100.00,100.00,100.00,100.00,46.15,53.85,0.00,,,,,,,
363,U1484,A,4,H,7,1.42,1.42,31.33,32.75,30.696,31.993, 84A_4_7-0_7404_01.$ls,3.78,4.11,16.000,3.07,0.78,4.11,16.20,49.11,62.09,75.57,100.00,100.00,100.00,100.00,100.00,49.11,50.89,0.00,,,,,,,
363,U1484,A,4,H,8,1.11,1.11,32.75,33.86,31.993,33.007, 84A_4_8-0_7405_01.$ls,4.05,4.31,18.000,3.15,0.82,4.31,17.80,47.65,60.04,72.62,100.00,100.00,100.00,100.00,100.00,47.65,52.35,0.00,,,,,,,
363,U1484,A,4,H,CC,0.54,0.54,33.86,34.4,33.007,33.5, 84A_4_cc-0_7406_01.$ls,3.22,3.56,4.000,2.79,0.76,3.56,12.30,54.24,69.07,84.57,100.00,100.00,100.00,100.00,100.00,54.24,45.76,0.00,,,,,,,
363,U1484,A,5,H,1,0.95,0.95,33.5,34.45,33.5,34.45, 84A_5_1-0_7407_01.$ls,4.20,4.5,18.000,3.20,0.82,4.50,18.50,46.45,58.54,71.23,99.98,100.00,100.00,100.00,100.00,46.45,53.55,0.00,,,,,,,
363,U1484,A,5,H,2,1.01,1.01,34.45,35.46,33.96,34.45, 84A_5_2-0,,,,,,,,,,,,,,,,,,,,,,,,,
363,U1484,A,5,H,3,1.3,1.3,35.46,36.76,34.678,35.46, 84A_5_3-0_7408_01.$ls,9.89,21.9,44.600,4.78,1.16,10.50,71.70,30.81,39.85,49.19,68.37,84.84,100.00,100.00,100.00,30.81,54.03,15.16,,,,,,,
363,U1484,A,5,H,4,1.38,1.38,36.76,38.14,35.79,36.76, 84A_5_4-0_7409_01.$ls,21.90,6.75,6.690,5.06,1.79,44.60,103.00,18.85,23.91,29.72,43.80,60.99,97.95,100.00,100.00,18.85,42.15,39.01,,,,,,,
363,U1484,A,5,H,5,1.08,1.08,38.14,39.22,37.264,38.14, 84A_5_5-0_7410_01.$ls,6.26,6.29,5.000,3.87,1.00,6.28,40.60,37.71,48.79,60.65,84.95,99.69,100.00,100.00,100.00,37.71,61.98,0.31,,,,,,,
363,U1484,A,5,H,6,1.42,1.42,39.22,40.64,38.082,39.22, 84A_5_6-0_7412_01.$ls,4.73,4.76,4.000,3.56,0.84,4.76,28.30,44.84,56.68,68.73,91.75,100.00,100.00,100.00,100.00,44.84,55.16,0.00,,,,,,,
363,U1484,A,5,H,7,1.4,1.4,40.64,42.04,39.47,40.64, 84A_5_7-0_7413_01.$ls,4.05,4.3,18.000,3.17,0.81,4.30,18.20,47.77,60.18,72.91,99.94,100.00,100.00,100.00,100.00,47.77,52.23,0.00,,,,,,,
363,U1484,A,5,H,8,1.38,1.38,42.04,43.42,40.852,42.04, 84A_5_8-0_7414_01.$ls,7.58,7.53,61.000,4.43,1.00,7.53,55.30,35.58,45.18,55.17,76.30,94.95,100.00,100.00,100.00,35.58,59.37,5.05,,,,,,,
363,U1484,A,5,H,CC,0.43,0.43,43.42,43.85,42.606,43, 84A_5_cc-0_7415_01.$ls,4.03,4.27,18.000,3.15,0.82,4.27,17.80,47.92,60.58,73.49,99.58,100.00,100.00,100.00,100.00,47.92,52.08,0.00,,,,,,,
363,U1484,A,6,H,1,0.47,0.47,43,43.47,43,43.47, 84A_6_1-0_7424_01.$ls,4.95,5.02,4.000,3.62,0.86,5.02,29.10,43.41,54.96,67.19,91.33,100.00,100.00,100.00,100.00,43.41,56.59,0.00,,,,,,,
363,U1484,A,6,H,2,1.12,1.12,43.47,44.59,43.139,43.47, 84A_6_2-0_7425_01.$ls,6.44,6.44,3.540,4.12,0.94,6.35,46.00,38.23,48.63,59.41,82.25,98.58,100.00,100.00,100.00,38.23,60.35,1.42,,,,,,,
363,U1484,A,6,H,3,1.32,1.32,44.59,45.91,43.869,44.59, 84A_6_3-0_7420_01.$ls,7.44,7.45,7.110,4.76,0.92,7.11,63.10,37.26,46.60,55.83,75.71,89.95,100.00,100.00,100.00,37.26,52.69,10.05,,,,,,,
363,U1484,A,6,H,4,1.16,1.16,45.91,47.07,45.081,45.91, 84A_6_4-0_7419_01.$ls,11.40,14,73.000,5.04,1.14,13.90,75.70,29.26,36.67,44.46,62.95,81.16,100.00,100.00,100.00,29.26,51.90,18.84,,,,,,,
363,U1484,A,6,H,5,1.33,1.33,47.07,48.4,46.068,47.07, 84A_6_5-0_7418_01.$ls,13.60,18.2,80.000,5.31,1.22,18.20,88.90,26.56,33.19,40.08,57.58,75.49,99.54,100.00,100.00,26.56,48.92,24.51,,,,,,,
363,U1484,A,6,H,6,1.42,1.42,48.4,49.82,47.276,48.4, 84A_6_6-0_7421_01.$ls,16.40,27.3,80.000,5.20,1.45,27.30,92.30,23.12,29.34,35.97,52.04,70.30,99.49,100.00,100.00,23.12,47.18,29.70,,,,,,,
363,U1484,A,6,H,7,1.4,1.4,49.82,51.22,48.659,49.82, 84A_6_7-0_7422_01.$ls,12.90,16.7,73.000,4.99,1.30,16.70,78.90,26.21,33.48,41.23,59.70,79.23,99.99,100.00,100.00,26.21,53.02,20.77,,,,,,,
363,U1484,A,6,H,8,1.36,1.36,51.22,52.58,50.053,51.22, 84A_6_8-0_7423_01.$ls,5.49,5.56,42.000,3.81,0.88,5.56,34.90,41.08,51.94,63.29,88.14,100.00,100.00,100.00,100.00,41.08,58.92,0.00,,,,,,,
363,U1484,A,6,H,CC,0.42,0.42,52.58,53,52.101,52.5, 84A_6_cc-0,,,,,,,,,,,,,,,,,,,,,,,,,
363,U1484,A,7,H,1,0.86,0.86,52.5,53.36,52.5,53.36, 84A_7_1-0_7440_01.$ls,3.12,3.45,12.000,2.79,0.73,3.45,11.60,55.19,69.16,84.72,100.00,100.00,100.00,100.00,100.00,55.19,44.81,0.00,,,,,,,
363,U1484,A,7,H,2,1.15,1.15,53.36,54.51,52.868,53.36, 84A_7_2-0_7441_01.$ls,6.57,6.3,50.000,4.20,0.96,6.30,48.10,38.55,48.84,59.34,80.69,98.31,100.00,100.00,100.00,38.55,59.76,1.69,,,,,,,
363,U1484,A,7,H,3,1.24,1.24,54.51,55.75,53.743,54.51, 84A_7_3-0_7443_01.$ls,11.70,14.6,66.000,4.79,1.30,14.60,72.40,27.26,35.10,43.48,63.30,83.26,100.00,100.00,100.00,27.26,56.00,16.74,,,,,,,
363,U1484,A,7,H,4,1.18,1.18,55.75,56.93,54.884,55.75, 84A_7_4-0_7444_01.$ls,13.40,16.9,80.000,5.09,1.33,16.80,85.20,26.22,33.59,41.20,58.66,76.47,99.86,100.00,100.00,26.22,50.25,23.53,,,,,,,
363,U1484,A,7,H,5,0.97,0.97,56.93,57.9,56.134,56.93, 84A_7_5-0_7445_01.$ls,10.20,12.2,66.000,4.730,1.16,12.20,67.30,30.10,38.37,46.75,67.66,87.40,100.00,100.00,100.00,30.10,57.30,12.60,,,,,,,
363,U1484,A,7,H,6,1.29,1.29,57.9,59.19,56.859,57.9, 84A_7_6-0_7446_01.$ls,6.30,6.34,50.000,4.110,0.91,6.34,42.90,38.76,48.75,59.02,82.93,99.62,100.00,100.00,100.00,38.76,60.86,0.38,,,,,,,
363,U1484,A,7,H,7,1.46,1.46,59.19,60.65,57.992,59.19, 84A_7_7-0_7447_01.$ls,4.46,4.43,4.000,3.420,0.85,4.43,22.50,46.73,59.44,71.47,93.12,100.00,100.00,100.00,100.00,46.73,53.27,0.00,,,,,,,
363,U1484,A,7,H,8,1.24,1.24,60.65,61.89,59.573,60.65, 84A_7_8-0_7448_01.$ls,4.80,4.8,4.770,3.470,0.90,4.77,27.90,44.39,56.97,69.27,91.99,100.00,100.00,100.00,100.00,44.39,55.61,0.00,,,,,,,
363,U1484,A,7,H,CC,0.43,0.43,61.89,62.32,61.479,61.89, 84A_7_cc-0,,,,,,,,,,,,,,,,,,,,,,,,,
363,U1484,A,8,H,1,0.53,0.53,62,62.53,62,62.53, 84A_8_1-0_7467_01.$ls,3.98,4.19,16.000,2.99,0.866,4.2,16.9,48.3342,61.9928,75.3991,100,100,100,100,100,48.33,51.67,0.00,,,,,,,
363,U1484,A,8,H,10,1.03,1.03,70.6,71.63,69.68,70.6, 84A_8_2-0_7468_01.$ls,4.23,4.52,18.000,3.06,0.882,4.52,17.8,45.9767,59.0649,72.6306,99.9973,100,100,100,100,45.98,54.02,0.00,,,,,,,
363,U1484,A,8,H,2,0.86,0.86,62.53,63.39,62.202,62.53, 84A_8_3-0_7469_01.$ls,3.82,4.03,18.000,3.03,0.817,4.03,16.8,49.7814,63.0809,75.9275,100,100,100,100,100,49.78,50.22,0.00,,,,,,,
363,U1484,A,8,H,3,1.11,1.11,63.39,64.5,62.773,63.39, 84A_8_4-0_7470_01.$ls,4.08,4.28,18.000,3.06,0.864,4.28,17.8,47.6674,61.1747,74.2123,99.9867,100,100,100,100,47.67,52.33,0.00,,,,,,,
