Section Summaries,KEY:,, = missing sample,RED, = very low sample,, = need to fill in,,,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,,% Volume
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Depth,Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean:,Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,%Clay,%Silt,%Sand
363,U1484,A,15,H,4,1.3,1.3,132.72,134.02,131.726,132.72, 84A_15_4-0_7657_01.$ls,4.06,4.21,18,3.19,0.819,4.21,18.7,48,60.4476,72.493,99.9799,100,100,100,100,48.46,51.54,0
363,U1484,A,15,H,5,1.46,1.46,134.02,135.48,132.865,134.02, 84A_15_5-0_7658_01.$ls,4.44,4.75,18,3.07,0.924,4.75,18.6,44,57.5815,71.4098,99.9856,100,100,100,100,44.29,55.71,0
363,U1484,A,15,H,6,1.43,1.43,135.48,136.91,134.293,135.48, 84A_15_6-0_7659_01.$ls,4.59,4.95,18,3.07,0.951,4.95,18.9,43,56.2061,70.2203,99.9741,100,100,100,100,43,57,0
363,U1484,A,15,H,7,0.83,0.83,136.91,137.74,136.155,136.91, 84A_15_7-0_7660_01.$ls,4.59,4.59,4,3.53,0.84,4.53,24.7,46,58.332,69.9587,92.9486,99.9985,100,100,100,46.19,53.81,0
363,U1484,A,16,H,1,0.76,0.76,138,138.76,138,138.76, 84A_16_1-0_7662_01.$ls,6.62,6.53,50,3.91,1.07,6.53,45.5,36,47.7299,60.0949,83.5963,98.6192,100,100,100,36.15,62.47,1.38
363,U1484,A,15,H,CC,0.38,0.38,138.29,138.67,137.645,138, 84A_15_cc-0_7661_01.$ls,33.9,64.8,88,4.46,3.04,64.8,119,12,15.7906,20.1424,30.9964,48.472,92.6344,100,100,11.95,36.53,51.53
363,U1484,A,16,H,2,1.29,1.29,138.76,140.05,138.282,138.76, 84A_16_2-0_7663_01.$ls,28.9,56.4,96,4.63,2.62,56.4,113,14,17.7386,22.8324,36.45,54.7653,94.8998,100,100,13.72,41.05,45.23
363,U1484,A,16,H,3,0.77,0.77,140.05,140.82,139.49,140.05, 84A_16_3-0_7664_01.$ls,29.4,58.7,96,4.66,2.67,58.7,114,14,18.0222,23.2599,36.0162,53.0161,94.5101,100,100,13.77,39.25,46.98
363,U1484,A,16,H,4,0.86,0.86,140.82,141.68,140.161,140.82, 84A_16_4-0_7665_01.$ls,37.2,69.3,96,4.45,3.47,69.3,127,11,14.3365,18.2689,28.5892,44.985,89.3789,100,100,10.94,34.05,55.02
363,U1484,A,16,H,5,1,1,141.68,142.68,140.894,141.68, 84A_16_5-0_7666_01.$ls,24.5,50.7,88,4.97,2.02,50.6,108,17,21.7738,26.9866,40.3888,58.2196,96.6946,100,100,17.08,41.14,41.78
363,U1484,A,16,H,6,0.53,0.53,142.68,143.21,142.204,142.68, 84A_16-6-0_7722_01.$ls,15,22.3,80,5.36,1.26,22.3,91,26,32.0989,38.6869,53.7246,70.7279,99.7249,100,100,25.89,44.84,29.27
363,U1484,A,17,H,1,1.41,1.41,147.5,148.91,147.5,148.91, 84A_17_1-0_7667_01.$ls,4.71,4.6,16,3.68,0.818,4.6,30.6,46,57.0387,67.8366,90.9124,100,100,100,100,46.08,53.92,0
363,U1484,A,17,H,2,1.25,1.25,148.91,150.16,148.247,148.91, 84A_17_2-0_7668_01.$ls,4.44,4.48,4,3.47,0.832,4.48,22.8,47,58.6297,70.8279,94.0673,100,100,100,100,46.55,53.45,0
363,U1484,A,17,H,3,1.47,1.47,150.16,151.63,149.213,150.16, 84A_17_3-0_7669_01.$ls,3.62,3.74,18,2.96,0.82,3.74,16.1,52,65.5653,78.4482,100,100,100,100,100,52.29,47.71,0
363,U1484,A,17,H,4,1.47,1.47,151.63,153.1,150.546,151.63, 84A_17_4-0_7670_01.$ls,3.71,3.85,18,3.1,0.78,3.85,16.8,51,63.0689,75.4914,100,100,100,100,100,51.12,48.88,0
363,U1484,A,17,H,5,1.42,1.42,153.1,154.52,151.967,153.1, 84A_17_5-0_7671_01.$ls,3.59,3.71,18,2.98,0.804,3.71,16.1,53,65.5939,78.3774,100,100,100,100,100,52.51,47.49,0
363,U1484,A,17,H,6,1.01,1.01,154.52,155.53,153.637,154.52, 84A_17_6-0_7672_01.$ls,3.63,3.78,16,3.02,0.797,3.75,16.3,52,65.4067,77.5533,100,100,100,100,100,52.15,47.85,0
363,U1484,A,17,H,7,0.76,0.76,155.53,156.29,154.835,155.53, 84A_17_7-0_7673_01.$ls,3.61,3.73,16,3.05,0.778,3.73,16.4,52,65.4865,77.405,100,100,100,100,100,52.33,47.67,0
363,U1484,A,18,H,1,1.4,1.4,157,158.4,157,158.4, 84A_18_1-0_7674_01.$ls,2.91,3.14,4,2.74,0.711,3.14,11.1,59,72.4615,87.001,100,100,100,100,100,58.54,41.46,0
363,U1484,A,18,H,2,1.4,1.4,158.4,159.8,157.7,158.4, 84A_18_2-0_7675_01.$ls,2.97,3.22,12,2.73,0.723,3.22,11.2,58,71.4148,86.5915,100,100,100,100,100,57.52,42.48,0
363,U1484,A,18,H,3,1.47,1.47,159.8,161.27,158.836,159.8, 84A_18_3-0_7676_01.$ls,3.38,3.51,16,2.94,0.766,3.51,15.5,54,68.1887,80.4719,100,100,100,100,100,54.5,45.5,0
363,U1484,A,18,H,4,1.48,1.48,161.27,162.75,160.171,161.27, 84A_18_4-0_7677_01.$ls,3.46,3.58,16,2.97,0.776,3.58,15.7,54,66.9449,79.3773,100,100,100,100,100,53.73,46.27,0
363,U1484,A,18,H,5,1.1,1.1,162.75,163.85,161.827,162.75, 84A_18_5-0_7678_01.$ls,2.94,3.13,12,2.69,0.74,3.13,11.2,59,72.5818,86.758,100,100,100,100,100,58.73,41.27,0
363,U1484,A,18,H,6,0.91,0.91,163.85,164.76,163.046,163.85, 84A_18_6-0_7679_01.$ls,3.22,3.39,4,2.83,0.765,3.39,13.7,56,70.0239,83.2602,100,100,100,100,100,55.88,44.12,0
363,U1484,A,18,H,7,1.35,1.35,164.76,166.11,163.61,164.76, 84A_18_7-0_7680_01.$ls,3.49,3.55,18,3.04,0.769,3.55,16.5,54,66.5892,78.3361,100,100,100,100,100,53.87,46.13,0
363,U1484,A,19,H,1,1.24,1.24,166.5,167.74,166.5,167.74, 84A_19-1-0_7683_01.$ls,3.98,4.12,18,3.23,0.792,4.12,18.6,49,60.8912,72.6378,99.9371,100,100,100,100,49.12,50.88,0
363,U1484,A,18,H,CC,0.34,0.34,167.11,167.45,166.191,166.5, 84A_18_cc-0,3.64,3.7,18,3.1,,,,,,,,,,,,,,
363,U1484,A,19,H,2,1.36,1.36,167.74,169.1,167.091,167.74, 84A_19-2-0_7684_01.$ls,7.1,6.3,4,4.47,1.02,6.34,60.7,38,48.7151,58.6891,78.2443,90.8893,100,100,100,38.11,52.78,9.11
363,U1484,A,19,H,3,1.2,1.2,169.1,170.3,168.279,169.1, 84A_19-3-0_7686_01.$ls,3.73,3.71,4,3.29,0.761,3.71,17.6,53,65.265,76.5646,96.3317,100,100,100,100,52.53,47.47,0
363,U1484,A,19,H,4,1.4,1.4,170.3,171.7,169.277,170.3, 84A_19-4-0_7687_01.$ls,2.89,3.07,4,2.62,0.758,3.06,10.5,60,74.4358,88.707,100,100,100,100,100,59.92,40.08,0
363,U1484,A,19,H,5,1.4,1.4,171.7,173.1,170.597,171.7, 84A_19-5-0_7688_01.$ls,3.8,3.92,16,2.98,0.85,3.92,16.7,51,63.9589,76.6073,100,100,100,100,100,50.63,49.37,0
363,U1484,A,19,H,6,1.46,1.46,173.1,174.56,171.905,173.1, 84A_19-6-0_7689_01.$ls,3.65,3.71,16,3.14,0.77,3.71,17.1,53,65.389,76.3746,99.105,100,100,100,100,52.51,47.49,0
363,U1484,A,19,H,7,1.31,1.31,174.56,175.87,173.433,174.56, 84A_19-7-0_7690_01.$ls,3.13,3.29,4,2.8,0.759,3.29,13.2,57,71.092,84.5221,100,100,100,100,100,56.89,43.11,0
363,U1484,A,19,H,CC,0.63,0.63,175.87,176.5,175.28,175.87, 84A_19-cc-0_7691_01.$ls,3.44,3.52,16,3.07,0.745,3.52,16.2,54,66.9402,78.3591,100,100,100,100,100,54.14,45.86,0
363,U1484,A,20,H,1,1.43,1.43,176,177.43,176,177.43, 84A_20-1-0_7693_01.$ls,4.97,5.03,4,3.46,0.921,5.03,27.4,43,55.1881,67.7883,92.4275,100,100,100,100,43.03,56.97,0
363,U1484,A,20,H,2,1.4,1.4,177.43,178.83,176.723,177.43, 84A_20-2-0_7694_01.$ls,5.1,5.18,4,3.44,0.955,5.18,26,42,54.3996,67.4192,92.5361,99.9986,100,100,100,42.03,57.97,0
363,U1484,A,20,H,3,1.4,1.4,178.83,180.23,177.893,178.83, 84A_20-3-0_7695_01.$ls,4.56,4.56,4,3.48,0.85,4.56,23.5,46,58.1383,70.1555,93.369,99.999,100,100,100,46,54,0
363,U1484,A,20,H,4,1.42,1.42,180.23,181.65,179.167,180.23, 84A_20-4-0_7696_01.$ls,6.08,6.17,50,3.95,0.93,6.17,41.8,39,49.2932,60.7285,85.6555,99.5635,100,100,100,38.82,60.75,0.44
363,U1484,A,20,H,5,1.48,1.48,181.65,183.13,180.477,181.65, 84A_20-5-0_7697_01.$ls,10.1,11.5,73,4.49,1.28,11.5,68.1,28,37.092,47.2633,70.7157,87.2975,100,100,100,28.36,58.93,12.7
363,U1484,A,20,H,7,1.02,1.02,184.54,185.56,183.629,184.54, 84A_20-7-0_7698_01.$ls,11.5,12.6,80,4.85,1.33,12.6,80.5,28,36.484,45.8951,65.2403,79.4361,99.9841,100,100,27.91,51.52,20.56
363,U1484,A,21,H,1,1.45,1.45,185.5,186.95, , , 84A_21-1-0_7700_01.$ls,5.68,5.59,4,3.79,0.949,5.59,37.5,40,51.892,63.7016,87.4621,99.7163,100,100,100,40.41,59.3,0.28
363,U1484,A,20,H,CC,0.31,0.31,185.56,185.87,185.202,185.5, 84A_20-cc-0_7699_01.$ls,10.9,12.3,80,4.82,1.26,12.3,77.6,28,36.7739,46.1887,67.0231,82.0358,99.9868,100,100,28.35,53.69,17.96
363,U1484,A,21,H,3,1.45,1.45,188.25,189.7, , , 84A_21-3-0_7701_01.$ls,12,13.9,80,4.6,1.47,13.9,77.5,25,33.3034,43.2022,65.8754,81.8534,99.9874,100,100,25.18,56.68,18.15
363,U1484,A,21,H,7,1.41,1.41,193.54,194.95, , , 84A_21-7-0_7702_01.$ls,4.32,4.37,18,3.39,0.819,4.37,19.9,47,59.3014,70.5625,95.7307,100,100,100,100,47.36,52.65,0
363,U1484,A,22,F,1,1.4,1.4,195,196.4, , , 84A_22-1-0_7703_01.$ls,12.6,15.4,80,4.94,1.3,15.4,80.9,27,34.4395,42.6111,61.1894,78.499,99.9828,100,100,27.1,51.4,21.5
363,U1484,A,22,F,2,1.38,1.38,196.4,197.78, , , 84A_22-2-0_7704_01.$ls,12.1,14.9,73,5.02,1.23,14.9,79.4,28,35.8749,43.7163,61.1401,79.4525,99.986,100,100,28.39,51.07,20.55
363,U1484,A,22,F,3,0.64,0.64,197.78,198.42, , , 84A_22-3-0_7705_01.$ls,12.3,14.7,80,4.96,1.3,14.7,80.7,28,35.4421,43.6541,61.4516,78.5616,99.9838,100,100,27.63,50.93,21.44
363,U1484,A,22,F,4,0.92,0.92,198.42,199.34, , , 84A_22-4-0_7706_01.$ls,9.77,10.4,73,5.15,1.03,10.4,76.2,33,41.5734,49.4666,66.4212,82.4389,99.989,100,100,33.35,49.09,17.56
363,U1484,A,22,F,CC,0.18,0.18,199.34,199.52, , , 84A_22-cc-076_7707_01.$ls,6.13,6.04,4,3.84,1.01,6.04,40.7,39,49.8403,61.5674,85.4901,99.6518,100,100,100,38.57,61.09,0.35
363,U1484,A,23,F,1,1.46,1.46,199.7,201.16, , , 84A_23-1-0_7708_01.$ls,22.9,47,88,4.95,1.95,47,104,18,22.8662,28.852,42.6709,59.8054,97.9543,100,100,17.78,42.03,40.19
363,U1484,A,23,F,2,1.43,1.43,201.16,202.59, , , 84A_23-2-0_7709_01.$ls,7.07,6.87,55,4.25,1,6.87,50.1,37,46.9812,57.0583,78.6347,98.0744,100,100,100,37.07,61,1.93
363,U1484,A,23,F,3,1.44,1.44,202.59,204.03, , , 84A_23-3-0_7710_01.$ls,11.3,13.2,73,4.96,1.22,13.2,77.8,29,37.3383,45.5803,63.5294,80.8507,99.9882,100,100,29.33,51.52,19.15
363,U1484,A,23,F,CC,0.29,0.29,204.03,204.32, , , 84A_23-cc-0_7711_01.$ls,7.49,7.53,55,4.33,1.02,7.54,51.7,36,45.2717,55.0904,76.8915,97.7476,100,100,100,35.93,61.81,2.25
363,U1484,A,24,F,1,1.26,1.26,204.4,205.66, , , 84A_24-1-0_7712_01.$ls,5.23,5.2,4,3.61,0.933,5.2,31.7,42,54.0642,66.3808,90.1288,99.9977,100,100,100,42.35,57.65,0
363,U1484,A,24,F,2,1.36,1.36,205.66,207.02, , , 84A_24-2-0_7713_01.$ls,4.56,4.4,4,3.59,0.833,4.4,27.3,47,58.9706,70.098,91.8428,99.9984,100,100,100,47.11,52.89,0
363,U1484,A,24,F,3,1.01,1.01,207.02,208.03, , , 84A_24-3-0_7714_01.$ls,4.51,4.5,5,3.35,0.896,4.5,21.8,46,59.235,72.0473,93.9285,99.9989,100,100,100,46.07,53.93,0
363,U1484,A,24,F,4,0.92,0.92,208.03,208.95, , , 84A_24-4-0_7715_02.$ls,5.7,6.36,18,3.16,1.17,6.36,21.4,35,48.1683,63.1277,96.0807,100,100,100,100,35.45,64.55,0
363,U1484,A,25,F,1,0.45,0.45,209.1,209.55, , , 84A_25-1-0_7716_01.$ls,4.81,4.91,4,3.31,0.953,4.9,22.4,43,56.471,70.1894,93.4698,100,100,100,100,43.31,56.69,0
363,U1484,A,25,F,2,0.96,0.96,209.55,210.51, , , 84A_25-2-0_7717_01.$ls,4.02,4.24,18,3,0.875,4.24,17.2,48,61.3907,74.9757,100,100,100,100,100,48.07,51.93,0
363,U1484,A,25,F,3,0.84,0.84,210.51,211.35, , , 84A_25-3-0_7718_01.$ls,6.38,6.26,50,3.97,1,6.26,44.1,38,48.929,60.237,83.1363,99.5376,100,100,100,38.39,61.14,0.46
363,U1484,A,25,F,4,1.16,1.16,211.35,212.51, , , 84A_25-4-0_7719_01.$ls,5.36,5.34,4,3.61,0.949,5.34,32.7,41,53.3221,65.7146,89.6604,99.9976,100,100,100,41.5,58.5,0
363,U1484,A,25,F,5,0.69,0.69,212.51,213.2, , , 84A_25-5-0_7720_01.$ls,4.85,4.74,4,3.69,0.848,4.74,31.4,45,56.4991,68.056,90.2737,99.9977,100,100,100,45.21,54.79,0
363,U1484,A,25,F,CC,0.42,0.42,213.2,213.62, , , 84A_25-cc-0_7721_01.$ls,4.8,4.83,4,3.37,0.939,4.83,24.4,44,56.9027,70.2266,92.5973,100,100,100,100,43.91,56.09,0
363,U1484,A,26,F,1,0.72,0.72,213.8,214.52, , , 84A_26-1-0_7723_01.$ls,6.06,5.91,50,4.07,0.918,5.91,42.9,40,50.366,60.5987,83.6685,99.5954,100,100,100,40.4,59.2,0.4
363,U1484,A,26,F,2,1.41,1.41,214.52,215.93, , , 84A_26-2-0_7724_01.$ls,25.8,53,96,4.81,2.3,53,109,16,20.4849,26.3624,40.1673,55.8576,96.6493,100,100,15.67,40.19,44.14
363,U1484,A,26,F,3,1.4,1.4,215.93,217.33, , , 84A_26-3-0_7725_01.$ls,19.7,36.6,88,5.08,1.74,36.6,100,20,26.094,32.9916,48.1119,62.6781,98.8925,100,100,20.17,42.51,37.32
363,U1484,A,26,F,4,0.85,0.85,217.33,218.18, , , 84A_26-4-0_7726_01.$ls,10.6,11.7,80,4.8,1.24,11.6,77.5,29,38.0548,47.3286,67.6803,82.5381,99.9854,100,100,29.47,53.07,17.46
363,U1484,A,26,F,5,0.72,0.72,218.18,218.9, , , 84A_26-5-0_7727_01.$ls,6.42,6.5,50,3.82,1.05,6.5,41.2,37,47.9202,60.014,84.996,99.6471,100,100,100,36.93,62.71,0.35
