LS,File name:,File ID:,Sample ID:,Operator:,Bar code:,Comment 1:,Comment 2:,Instrument:,Run number:,Start time:,Run length:,Optical model:,Obscuration:,PIDS Obscur:,Obscuration:,Serial Number:,,From,To,Volume ,Depth,Mean:,Median:,"D(3,2):",Mean/Median ratio:,Mode:,S.D.:,Variance:,C.V.:,Skewness:,Kurtosis:,d10:,d50:,d90:,Specific Surf. Area:,,% <,10,25,50,75,90,,Size ,4,10,63,125,250
4/16/2017 17:14,86B_7_3-50_8289_01.$ls,86B_7_3-50,,,,,,"LS 13 320, Aqueous Liquid Module",8289,4/14/2017 10:19,90,Fraunhofer.rfd   PIDS included,9,73,OK,7625,,0.03999,2000,100,57.01,3.55638,3.8531,1.88013,0.922992,16.3982,3.00526,9.03161,0,-0.346894,-0.579498,0.753411,3.8531,15.8726,31912.7,,Size ,51.3187,79.2104,100,100,100,,% <,51.3,79.2,100,100,100
4/16/2017 17:14,86B_7_6-98_8290_01.$ls,86B_7_6-98,,,,,,"LS 13 320, Aqueous Liquid Module",8290,4/14/2017 10:34,91,Fraunhofer.rfd   PIDS included,7,60,Low,7625,,0.03999,2000,100,61.99,7.94875,9.11504,3.58914,0.872047,16.3982,3.13945,9.85617,0,-0.689831,0.0839124,1.63508,9.11504,32.9639,16717.1,,Size ,24.4689,52.3076,100,100,100,,% <,24.5,52.3,100,100,100
4/16/2017 17:14,86B_8_4-40_8291_01.$ls,86B_8_4-40,,,,,,"LS 13 320, Aqueous Liquid Module",8291,4/14/2017 10:54,90,Fraunhofer.rfd   PIDS included,8,53,OK,7625,,0.03999,2000,100,67.91,11.4473,15.5401,4.00798,0.736628,34.5839,3.53828,12.5194,0,-0.909364,0.333709,2.01321,15.5401,46.6108,14970.1,,Size ,19.6386,38.8779,99.6834,100,100,,% <,19.6,38.9,99.7,100,100
4/16/2017 17:14,86B_8_6-116_8292_01.$ls,86B_8_6-116,,,,,,"LS 13 320, Aqueous Liquid Module",8292,4/14/2017 11:05,91,Fraunhofer.rfd   PIDS included,7,50,Low,7625,,0.03999,2000,100,71.67,13.3208,17.5264,4.79917,0.760042,55.1345,3.35082,11.228,0,-1.03995,0.725291,2.46614,17.5264,49.0882,12502.2,,Size ,15.9015,33.8896,99.6008,100,100,,% <,15.9,33.9,99.6,100,100
4/16/2017 17:14,86B_9_2-37_8294_01.$ls,86B_9_2-37,,,,,,"LS 13 320, Aqueous Liquid Module",8294,4/14/2017 11:27,90,Fraunhofer.rfd   PIDS included,6,54,Low,7625,,0.03999,2000,100,74.38,3.67353,4.50442,1.78801,0.81554,12.396,2.81134,7.90362,0,-1.0076,0.726783,0.815279,4.50442,11.6518,33556.8,,Size ,45.079,83.6203,100,100,100,,% <,45.1,83.6,100,100,100
4/16/2017 17:14,86B_9_5-124_8295_01.$ls,86B_9_5-124,,,,,,"LS 13 320, Aqueous Liquid Module",8295,4/14/2017 11:41,90,Fraunhofer.rfd   PIDS included,8,62,OK,7625,,0.03999,2000,100,79.75,4.38438,4.96292,2.07896,0.883426,18.0014,3.08438,9.51341,0,-0.636381,-0.160174,0.866638,4.96292,17.3801,28860.6,,Size ,42.3957,72.0196,100,100,100,,% <,42.4,72,100,100,100
4/16/2017 17:14,86B_10_2-107_8296_01.$ls,86B_10_2-107,,,,,,"LS 13 320, Aqueous Liquid Module",8296,4/14/2017 11:53,90,Fraunhofer.rfd   PIDS included,7,51,Low,7625,,0.03999,2000,100,84.58,10.0529,12.712,4.24479,0.790821,16.3982,3.16795,10.0359,0,-0.858735,0.385727,2.00687,12.712,38.425,14135,,Size ,19.3878,43.1453,100,100,100,,% <,19.4,43.1,100,100,100
4/16/2017 17:14,86B_10_5-104_8297_01.$ls,86B_10_5-104,,,,,,"LS 13 320, Aqueous Liquid Module",8297,4/14/2017 12:01,90,Fraunhofer.rfd   PIDS included,8,58,OK,7625,,0.03999,2000,100,89.05,8.74082,10.6637,3.12622,0.819681,16.3982,3.39529,11.528,0,-0.89422,0.686709,1.69433,10.6637,37.0595,19192.5,,Size ,23.29,47.9793,99.9974,100,100,,% <,23.3,48,99.997,100,100
4/16/2017 17:14,86B_11_2-124_8298_01.$ls,86B_11_2-124,,,,,,"LS 13 320, Aqueous Liquid Module",8298,4/14/2017 12:11,90,Fraunhofer.rfd   PIDS included,8,60,OK,7625,,0.03999,2000,100,94.25,8.52111,10.4575,3.2669,0.814831,37.9652,3.36881,11.3489,0,-0.807773,0.311002,1.60327,10.4575,35.7926,18366.1,,Size ,24.8005,48.7079,100,100,100,,% <,24.8,48.7,100,100,100
4/16/2017 17:14,86B_11_5-119_8299_01.$ls,86B_11_5-119,,,,,,"LS 13 320, Aqueous Liquid Module",8299,4/14/2017 12:21,90,Fraunhofer.rfd   PIDS included,7,59,Low,7625,,0.03999,2000,100,98.7,3.4681,3.96292,1.96132,0.875137,12.396,2.67082,7.13331,0,-0.665976,-0.0533947,0.85075,3.96292,11.5366,30591.6,,Size ,50.369,84.7474,100,100,100,,% <,50.4,84.7,100,100,100
